.وباص|n41546
.وبّاص|n41546
.وَبَّاص|n41546
.وَبَّاصٌ|n41546
123|n22301
123|n22573
123|n22660
123|n22860
123|n25085
123|n25517
123|n25805
123|n26441
123|n26756
123|n27118
123|n32060
123|n32129
123|n32130
123|n3782
123|n3799
123|n3986
123|n3998
123|n5019
123|n5075
123|n8532
123|n9357
1َ2َ3َ|n22301
1َ2َ3َ|n22573
1َ2َ3َ|n25085
1َ2َ3َ|n25805
1َ2َ3َ|n26756
1َ2َ3َ|n32130
1َ2َ3َ|n3782
1َ2َ3َ|n3799
1َ2َ3َ|n3986
1َ2َ3َ|n3998
1َ2َ3َ|n5019
1َ2َ3َ|n8532
1َ2ُ3َ|n22301
1َ2ُ3َ|n22573
1َ2ُ3َ|n22660
1َ2ُ3َ|n22860
1َ2ُ3َ|n25517
1َ2ُ3َ|n25805
1َ2ُ3َ|n26441
1َ2ُ3َ|n27118
1َ2ُ3َ|n32060
1َ2ُ3َ|n5019
1َ2ُ3َ|n5075
1َ2ُ3َ|n8532
1َ2ُ3َ|n9357
1َ2ِ3َ|n22301
1َ2ِ3َ|n22660
1َ2ِ3َ|n22860
1َ2ِ3َ|n25517
1َ2ِ3َ|n25805
1َ2ِ3َ|n26441
1َ2ِ3َ|n27118
1َ2ِ3َ|n32060
1َ2ِ3َ|n32129
1َ2ِ3َ|n3986
1َ2ِ3َ|n5019
1َ2ِ3َ|n5075
1َ2ِ3َ|n9357
??|n21476
??|n33714
??|n42755
B|n1748
Bُ|n1748
آئِب|n1468
آئِبٌ|n1468
آئِبَة|n1469
آئِبَةٌ|n1469
آئِد|n1485
آئِدٌ|n1485
آئِر|n1594
آئِرٌ|n1594
آئِل|n1513
آئِلٌ|n1513
آئِم|n1624
آئِمٌ|n1624
آئِن|n1527
آئِن|n1635
آئِنٌ|n1527
آئِنٌ|n1635
آئِىّ|n1573
آئِىٌّ|n1573
آئْتَرِشْ|n571
آب|n131
آبٍ|n131
آبَ|n1454
