' υἱοθεσία|(a) with Israel: Rom.9.4; (b) with Christ­ians: Rom.8.15, Gal.4.5, Eph.1.5; of its consummation, Rom.8.23.†
&lt; κόκκος|a grain: Mat.13.31; Mat.17.20, Mar.4.31, Luk.13.19; Luk.17.6, Joh.12.24, 1Co.15.37.†
(I) δέω|to tie, bind, fasten; (1) c. acc rei, seq. εἰς δεσμάς, Mat.13.30; of an ass, Mat.21.2, Mar.11.2-4, Luk.19.30.; (2) c. acc pers., of swathing a dead body, ὀθονίοις, Joh.19.40; δεδομένος τ. πόδας ... κειρίαις (Bl., § 34, 6; Kühner3, iii, 125), Joh.11.44 of binding with chains, ἀγγέλους, Rev.9.14; a demoniac, πέδαις κ. ἁλύσεσι, Mar.5.3-4; captives, Mat.12.29; Mat.14.3; Mat.22.13; Mat.27.2, Mar.3.27; Mar.6.17; Mar.15.1; Mar.15.7, Joh.18.12; Joh.18.24, Act.9.2; Act.9.14; Act.9.21; Act.21.11; Act.21.13; Act.22.5; Act.22.29; Act.24.27, Col.4.3, Rev.20.2; ἁλύσεσι, Act.12.6; Act.21.33, Metaph., ὁ λόγος τ. Θεοῦ, 2Ti.2.9; of Satan binding by disease (MM, s.v.), Luk.13.16; of constraint or obligation, Act.20.22; of the marriage bond, 1Co.7.39; id. c. dat. pers., ἀνδρί, Rom.7.2; γυναικί, 1Co.7.27; in Rabbinic lang. (Dalman, Words, 213 f.), to forbid, declare forbidden, Mat.16.19; Mat.18.18 (cf. κατα-, περι-, συν-, ὑπο-δέω; Cremer, 82).†; Attic,; to want, miss; mid., δέομαι, q.v.
@ἄπειμι|to be absent: 1Co.5.3, 2Co.10.1; 2Co.10.11; 2Co.13.2; 2Co.13.10 Php.1.27, Col.2.5.†
@ἄπειμι|to depart: Act.17.10.†
@ἅπτω|prop.,; to fasten to; hence, of fire, to kindle, light: Luk.8.16; Luk.11.33; Luk.15.8, Act.28.2. Mid., c. gen., to fasten oneself to, cling to, lay hold of (so in Papyri; MM, s.v.): Mat.8.3; Mat.8.15, Joh.20.17, al.; of carnal intercourse, 1Co.7.1; with reference to levitical and ceremonial prohibitions, 2Co.6.17, Col.2.21; of hostile action, 1Jn.5.18 (cf. ἀν-, καθ-, περι- άπτω).; * πεπι-άπτω,; 1. to tie about, attach.; 2. In late writers, to light a fire around, kindle: πῦρ, Luk.22.55.†; SYN.: θιγγάνω G2345, ψηλαφάω G5584. ἅ. is the stronger, θ., to touch, the lighter term. ψ. is to feel, as in search of something (Tr., Syn., § xvii; Lft., Col., 201 f.).
@ἅπτω|prop.,; to fasten to; hence, of fire, to kindle, light: Luk.8.16; Luk.11.33; Luk.15.8, Act.28.2. Mid., c. gen., to fasten oneself to, cling to, lay hold of (so in Papyri; MM, s.v.): Mat.8.3; Mat.8.15, Joh.20.17, al.; of carnal intercourse, 1Co.7.1; with reference to levitical and ceremonial prohibitions, 2Co.6.17, Col.2.21; of hostile action, 1Jn.5.18 (cf. ἀν-, καθ-, περι- άπτω).; SYN.: θιγγάνω G2345, ψηλαφάω G5584. ἅ. is the stronger, θ., to touch, the lighter term. ψ. is to feel, as in search of something (Tr., Syn., § xvii; Lft., Col., 201 f.).
@ἄρχω|1. to begin.; 2. to rule (v. DCG, ii, 538 b.): c. gen., Mar.10.42, Rom.15.12. Mid., to begin: seq. ἀπό, Mat.16.21; Mat.20.8, Luk.14.18; Luk.23.5; Luk.24.27; Luk.24.47, Joh.8.9, Act.1.22; Act.8.35; Act.10.37, 1Pe.4.17; c. inf., an Aramaic pleonasm, Mar.1.45; Mar.2.23; Mar.5.17, Luk.3.8, al. (v. M, Pro.14.1-35 f.; Dolman, Words, 27; MM, s.v.).
@ἄρχω|1. to begin.; 2. to rule (v. DCG, ii, 538b.): c. gen., Mar.10.42, Rom.15.12. Mid., to begin: seq. ἀπό, Mat.16.21; Mat.20.8, Luk.14.18; Luk.23.5; Luk.24.27; Luk.24.47, Joh.8.9, Act.1.22; Act.8.35; Act.10.37, 1Pe.4.17; c. inf., an Aramaic pleonasm, Mar.1.45; Mar.2.23; Mar.5.17, Luk.3.8, al. (v. M, Pro.14.1-35 f.; Dalman, Words, 27; MM, s.v.).
@δῆλος|1. a district, country.; 2. the common people, the people generally; esp. the people assembled: Act.12.22; Act.17.5; Act.19.30-31†; SYN.: λαός G2992, the people at large: δ., the people as a body politic; opp. to δ. is ὄχλος G3793, the unorganized multitude. ἔθνος G1484, in sing., means in NT as in Gk. writers generally, a nation, but in p1. denotes the rest of mankind apart from the Jews: Gentiles. λ. also, rare in cl. (Att... λεώς), is freq. in LXX and NT, and usually limited to the chosen people, Israel (cf. Cl. Rev., i, 42 f.; Cremer, 689).
@δῆλος|1. visible.; 2. clear to the mind, evident: Mat.26.73; δ. (sc. ἐστίν), seq. ὅτι, 1Co.15.27, Gal.3.11.†; SYN.: φανερός G5318, with ref. to outward appearance, manifest as opp. to concealed; δ. with ref. to inner perception, evident, known, under­stood.
