@ἄπειμι|n550
@ἄπειμι|n551
@ἅπτω|n682
@ἅπτω|n683
@ἄρχω|n758
@ἄρχω|n759
@δῆλος|n1214
@δῆλος|n1220
@εἰ|n1489
@εἰ|n1490
@εἰ|n1491
@εἰ|n1492
@εἰ|n1500
@εἰ|n1501
@εἴκω|n1504
@εἴκω|n1505
@ζηλωτής|n2209
@Ζηλωτής|n2210
@ἡλεί|n2243
@Ἡλεί|n2244
@κρείσσων|n2909
@κρείσσων|n2910
@λοιπός|n3063
@λοιπός|n3064
@λοιπός|n3065
@μήν|n3276
@μήν|n3277
@ὄφις|n3690
@ὄφις|n3700
@στάχυς|n4620
@Στάχυς|n4621
@στέφανος|n4636
@Στέφανος|n4637
@συμβουλεύω|n4722
@συμβουλεύω|n4724
@σύνειμι|n4796
@σύνειμι|n4797
@φοῖνιξ|n5305
@φοῖνιξ|n5306
oὗ|n3658
ἀαρών|n2
άβαδδών|n3
ἀβαρής|n4
ἀββά|n5
ἀβειληνή|n9
ἄβελ|n6
ἀβίά|n7
άβιάθαρ|n8
ἀβιούδ|n10
ἀβραάμ|n11
ἄβυσσος|n12
ἄγαβος|n13
ἀγαθοεργέω|n14
ἀγαθοποιέω|n15
ἀγαθοποιία|n16
ἀγαθοποιός|n17
ἀγαθός|n18
ἀγαθωσύνη|n19
ἀγαλλίασις|n20
ἀγαλλιάω|n21
ἄγαμος|n22
ἀγανακτέω|n23
ἀγανάκτησις|n24
ἀγαπάω|n25
ἀγάπη|n26
ἀγαπητός|n27
ἅγαρ|n28
ἀγγαρεύω|n29
ἀγγεῖον|n30
ἀγγελία|n31
ἄγγελος|n32
ἄγε|n33
ἀγέλη|n34
ἀγενεαλόγητος|n35
ἀγενής ές|n36
ἁγιάζω|n37
ἁγιασμος|n38
ἅγιος|n41
αγιοτητος|n42
ἁγιωσύνη|n43
ἀγκάλη|n44
ἄγκιστρον|n45
ἄγκυρα|n46
ἄγναφος|n47
ἁγνεία (WH|n48
ἁγνίζω|n49
ἁγνισμός|n50
ἀγνοέω|n51
ἀγνόημα|n52
ἄγνοια|n53
ἁγνός|n54
ἁγνότης|n55
ἁγνῶς|n56
ἀγνωσία|n57
ἄγνωστος|n58
ἀγορά|n59
ἀγοράζω|n60
ἀγοραῖος|n61
ἄγρα|n62
ἀγράμματος|n63
ἀγραυλέω|n64
ἀγρεύω (ἄγρα)|n65
ἀγριέλαιος|n66
ἄγριος|n67
ἀγρίππας|n68
ἀγρός|n69
ἀγρυπνέω|n70
ἀγρυπνία|n71
ἄγω|n72
ἀγωγή|n73
ἀγών ῶνος|n74
ἀγωνία ας|n75
ἀγωνίζομαι|n76
ἀδάμ|n77
ἀδάπανος|n78
ἀδδεί|n79
ἀδελφή|n80
ἀδελφός|n81
ἀδελφότης|n82
ἄδηλος|n83
ἀδηλότης ητος|n84
ἀδήλως|n85
ἀδημονέω|n86
ᾅδης|n87
ἀδιάκριτος|n88
ἀδιάλειπτος|n89
ἀδιαλείπτως (v. supr.)|n90
ἀδικέω|n93
ἀδίκημα τος|n94
ἀδικία|n95
ἄδικος|n96
ἀδίκως|n97
ἀδόκιμος|n98
ἄδολος|n99
ἁδραμυντηνός|n100
ἁδρίας|n101
ἁδρότης|n102
ἁδυνατέω|n103
ἀδύνατος|n104
ᾄδω|n105
ἀεί|n106
ἀετός|n107
ἄζυμος|n108
ἀζώρ|n109
ἄζωτος|n110
ἀήρ|n111
ἀθανασία|n112
ἀθέμιτος|n113
ἄθεος|n114
ἄθεσμος|n115
ἀθετέω ῶ|n116
