@Γάζα|Gaza, an old town in the south of Palestine, on the sea-coast
@Σμύρνα|Smyrna, a great port of the Roman province Asia
@Στάχυς|Stachys, a Christian man at Rome
@Στέφανος|Stephen, one of the seven original deacons at Jerusalem, and the first martyr
@βάτος|a "bath," a liquid measure among the Jews, containing 72 sextarii, that is, between eight and nine gallons
@βάτος|a thorn bush or bramble
@γάζα|treasure, treasury
@μήν|a (lunar) month
@μήν|assuredly, certainly
@σμύρνα|myrrh
@στάχυς|a head of grain
@στέφανος|a crown, garland, honor, glory
@ἄπειμι|I am absent
@ἄπειμι|I go away, depart
@ὦ|O, an exclamation, used in addressing someone
@Ὦ|omega, the last letter of the Greek alphabet
ασσαρών|Sharon, the maritime plain between Carmel and Joppa
αἰγιαλός|sea-coast, (sandy) beach; shore (of sea or lake), land
αἰγύπτιος|Egyptian
αἰδώς|shame, modesty
αἰθίοψ|an Ethiopian, Abyssinian
αἰνέας|Aeneas, a citizen of Lydda
αἰνέω|I praise
αἰνών|Aenon; Eusebius and Jerome place this site 8 (Roman) miles south of Scythopolis near the Jordan
αἰσθητήριον|perceptive faculty
αἰσθάνομαι|I perceive, understand
αἰσχροκερδής|greedy, fond of base gain
αἰσχροκερδῶς|greedily, in a spirit of eagerness for base gain
αἰσχρολογία|filthy speech, foul language
αἰσχρός|base, disgraceful
αἰσχρότης|obscenity, indecency, baseness
αἰσχύνη|shame, shamefacedness, shameful deeds
αἰσχύνομαι|I am ashamed, am put to shame
αἰτέω|I ask, request, petition, demand
αἰτία|a cause, reason, excuse; a charge, accusation; guilt; circumstances, case
αἰτίωμα|a charge, accusation
αἰφνίδιος|unexpected, sudden
αἰχμαλωσία|captivity; a captive multitude
αἰχμαλωτεύω|I take captive, captivate
αἰχμαλωτίζω|I take captive (in war); I subdue, ensnare
αἰχμάλωτος|a captive (in war), a prisoner
αἰών|an age, a cycle (of time), especially of the present age as contrasted with the future age, and of one of a series of ages stretching to infinity
αἰώνιος|age-long, and therefore: practically eternal, unending; partaking of the character of that which lasts for an age, as contrasted with that which is brief and fleeting
αἱματεκχυσία|a shedding or pouring forth of blood (in sacrifice)
αἱμορροέω|I suffer from a continual flow (oozing) of blood
αἱρετικός|disposed to form sects, sectarian, heretical, factious
αἱρετίζω|I choose
αἱρέω|I choose, prefer
αἴγειος|of a goat
αἴγυπτος|Egypt
αἴνεσις|praise, commendation
αἴνιγμα|a riddle, an enigma
αἴρω|I raise, lift up, take away, remove
αἴσθησις|perception, understanding, discernment
αἴτημα|a petition, request
αἴτιον|cause, crime, guilt, criminality
αἴτιος|the cause, author; the culprit, the accused; the crime
αἵρεσις|a self-chosen opinion, a religious or philosophical sect, discord or contention
αἶνος|praise
αἷμα|blood (especially as shed)
αὐγούστος|Augustus, a title conferred on the first Roman Emperor, C. Iulius Octauianus, denoting sanctity (almost divinity)
αὐγάζω|I flash, gleam, shine forth, appear white, bright; but perhaps: I see, see clearly, discern
αὐγή|brightness, daylight, dawn
αὐθαίρετος|of one's own accord, self-chosen
αὐθεντέω|I domineer, govern, have mastery over
