-ί|iota demonstrativum
-δε|motion towards
-δις|inseparable Suffix, signifying motion to a place, like -δε, as in ἄλλυδις, οἴκαδις, χαμάδις
-θε|inseparable suffix, v. -θεν.
-θεν|motion from
-σθα|an ancient ending of 2 pers. sg. act., in Hom. and other Poets, mostly in subj., as ἐθέλῃσθα, ἔχῃσθα, εἴπῃσθα, rarely in opt. as κλαίοισθα. In attic it was retained in some irreg. Verbs, ἦσθα, οἶσθα, ᾔδησθα.
-φι|of the head.
@Αἴγειος|of Aegeus
@Βρόμιος|Bacchic
@Δίς|an old nom. for Ζεύς which appears in the oblique cases Διός, Διΐ, Δία, and Lat. Dis, Dies-piter, Djovis.
@Διιπετής1|fallen from Zeus
@Διιπετής2|hovering in air
@Διιπετής|fallen from Zeus
@Δῆλος|Delos
@Εὖρος|the East wind
@Κάρ|a Carian
@Κάστωρ|Castor
@Κώρυκος|a promontory of Cilicia
@Κῦρος|Cyrus
@Μίτρα|the Persian Aphrodite, Hdt.
@Μαλίς1|doric for Μηλίς, cf. Μηλιάδες.
@Μαλίς|doric for Μηλίς, cf. Μηλιάδες.
@Μαῖα|Maia
@Μηλίς|Malis
@Μῆδος|a Mede, Median
@Πάνορμος|its territory
@Πάρος|Paros
@Παιώνιος1|belonging to Paeon, medicinal, healing
@Παιώνιος2|a healer, reliever
@Παιώνιος|belonging to Paeon, medicinal, healing
@Προμήθεια|the festival of Prometheus
@Πύλος|Pylos
@Σκυθίζω1|to behave like a Scythian
@Σκυθίζω2|to behave like a Scythian
@Σκυθίζω|to behave like a Scythian
@Σμυρναῖος|of Smyrna
@Σμύρνα|Smyrna
@Σπάρτη|Sparta
@Στησίχορος|Stesichorus
@Συρίζω1|to speak like a Syrian
@Συρίζω2|to speak like a Syrian
@Τυφώς|a whirlwind, typhoon
@Φοῖνιξ|a Phoenician
@Χαλκίς|Chalcis
@Χείρων|Cheiron
@Χῶρος|the North-west wind
@αἴγειος|of a goat or goats
@αὔω1|to burn, light a fire, get a light
@αὔω2|to shout out, shout, call aloud
@αὔω|to burn, light a fire, get a light
@αὖ1|again, anew, afresh, once more
@αὖ2|bow wow
@αὖ|again, anew, afresh, once more
@βάτος1|a bramble-bush or wild raspberry
@βάτος3|bath
@βάτος|a bramble-bush or wild raspberry
@βρόμιος|sounding, boisterous
@γύης1|the piece of wood
@γύης2|a piece of land
@γύης|the piece of wood
@δέλτα1|lacryma
@δέλτα2|anything shaped like a
@δέλτα|lacryma
@δέω1|to bind, tie, fetter
@δέω2|to lack, miss, stand in need of
@δέω|to bind, tie, fetter
@δίς|twice, doubly
@δαίς1|a fire-brand, pine-torch
@δαίς2|equally divided
@δαίς|a fire-brand, pine-torch
@δαίω1|to light up, make to burn, kindle
@δαίω2|to divide
@δαίω|to light up, make to burn, kindle
@δεύω1|to wet, drench
@δεύω2|to miss, want
@δεύω|to wet, drench
@διαείδω1|to discern, distinguish
@διαείδω2|to contend in singing
@διαείδω|to discern, distinguish
@δρῦς1|a tree
@δρῦς2|a tree
@δρῦς|a tree
@δυώδεκα1|twelve
@δυώδεκα2|twelve
@δυώδεκα|twelve
@δύσαυλος1|inhospitable
@δύσαυλος2|an unhappy
@δύσαυλος|inhospitable
@δῆλος|visible, conspicuous
@εἴρω1|to fasten together in rows, to string
@εἴρω2|see ἐρῶ
@εἴρω|to fasten together in rows, to string
@εὐαγής1|free from pollution, guiltless, pure, undefiled
@εὐαγής2|moving well, nimble
@εὐαγής3|bright, far-seen, conspicuous
@εὐαγής|free from pollution, guiltless, pure, undefiled
@εὐθαλής1|blooming, flourishing
@εὐθαλής2|doric for εὐθηλής.
@εὐθαλής|blooming, flourishing
@εὐθύς1|straight, direct
@εὐθύς2|straight
@εὐθύς|straight, direct
@εὐκτέανος1|wealthy
@εὐκτέανος2|with straight fibres, slender, tall
@εὐκτέανος|wealthy
@εὔλυρος1|playing well on the lyre, skilled in the lyre
@εὔλυρος2|easy to untie or loose
@εὔλυρος|playing well on the lyre, skilled in the lyre
@εὔρινος1|ῥίς
@εὔρινος2|of good leather
@εὔρινος|ῥίς
@εὖνις1|reft of, bereaved of
@εὖνις2|a bedfellow, wife
@εὖνις|reft of, bereaved of
@εὖρος|breadth, width
@θεῖον1|brimstone
@θεῖον2|the divinity
@θεῖον|brimstone
@θεῖος1|of or from the gods, sent by the gods, issuing from them, divine
@θεῖος2|one's father's or mother's brother, uncle
@θεῖος|of or from the gods, sent by the gods, issuing from them, divine
@θυώδης1|smelling of incense, sweet-smelling
@θυώδης2|smelling of incense, sweet-smelling
@θυώδης|smelling of incense, sweet-smelling
@θύω1|to offer
@θύω2|to rush on or along
@θύω|to offer
@θῆσσα1|a poor girl, one obliged to go out for hire
@θῆσσα2|fem. of θής, q. v.
@θῆσσα|a poor girl, one obliged to go out for hire
@κάρ2|hair cut off, a lock of hair
@κάστωρ|the beaver
@καρπός1|fruit
@καρπός2|the wrist
@καρπός|fruit
@καταδέω1|to bind on or to, bind fast
@καταδέω2|to want, lack, need
@καταδέω|to bind on or to, bind fast
@καὶ1|but also
@καὶ2|for truly
@καὶ3|and now, even now
@καὶ4|even if, although
@καὶ5|nay further
@καὶ|but also
@κείω1|to lie down
@κείω2|to cleave
@κείω3|to cleave
@κείω|to lie down
@κειμήλιον1|anything stored up as valuable, a treasure, heirloom
@κειμήλιον2|anything stored up as valuable, a treasure, heirloom
@κειμήλιον|anything stored up as valuable, a treasure, heirloom
@κλείω1|to shut, close, bar
@κλείω2|to celebrate
@κλείω|to shut, close, bar
@κλῄζω1|to make famous, to celebrate in song, laud
@κλῄζω2|to shut
@κλῄζω|to make famous, to celebrate in song, laud
@κόρος1|one's fill, satiety, surfeit
@κόρος2|a boy, lad, stripling
@κόρος3|cor
@κόρος|one's fill, satiety, surfeit
@κύριος1|having power or authority over, lord
@κύριος2|a lord, master
@κύριος|having power or authority over, lord
@κώρυκος|a leathern sack or wallet for provisions
@κῦρος|supreme power, authority
@λάω1|to behold, look upon
@λάω3|to wish, desire
@λάω|to behold, look upon
@λέγω1|to lay asleep, lull to sleep
@λέγω2|to gather, pick up
@λέγω3|to say, speak
@λέγω|to lay asleep, lull to sleep
@λίς1|a lion
@λίς2|smooth
@λίς|a lion
@λίψ1|the SW. wind
@λίψ2|a stream
@λίψ|the SW. wind
@λαμπάς1|gleaming with torches
@λαμπάς2|a torch
@λαμπάς|gleaming with torches
@λειστός1|= ληϊστός, Il.
@λειστός2|of or for the people, public.
@λειστός|= ληϊστός, Il.
@λιμηρός1|hungry, causing hunger
@λιμηρός2|furnished with a good harbour
@λιμηρός|hungry, causing hunger
@λιτός1|smooth, plain
@λιτός3|suppliant, supplicatory
@λιτός|smooth, plain
@λύγξ1|a lynx
@λύγξ2|a spasmodic affection of the throat, hiccough, hiccup
@λύγξ|a lynx
@λῆξις1|a portion assigned by lot, an allotment
@λῆξις2|cessation
@λῆξις|a portion assigned by lot, an allotment
@μέτειμι1|to be among
@μέτειμι2|to go between or among
@μέτειμι|to be among
@μίτρα|a belt or girdle
@μαλίς2|doric for μηλίς
@μαῖα|good mother, dame
@μηλίς1|μῆλον2
@μόσχος1|a young shoot or twig
@μόσχος2|a calf
@μόσχος|a young shoot or twig
@μὴ1|nay but, not so but
@μὴ2|certainly not
@μὴ3|not to say
@μὴ4|not only
@μὴ5|fear or apprehension, =
@μὴ|nay but, not so but
@μῆδος1|counsels, plans, arts, schemes
@μῆδος2|the genitals
@μῆλον1|a sheep or goat
@μῆλον2|tree-fruit
@μῆλον|a sheep or goat
@νέω1|to swim
@νέω2|to spin
@νέω3|to heap, pile, heap up
@νέω4|next year.
@νέω|to swim
@ναίω1|to dwell, abide
@ναίω2|to run over, to be full
@ναίω|to dwell, abide
@νεόδμητος1|newly tamed
@νεόδμητος2|new-built
@νεόδμητος|newly tamed
@νεόρρυτος1|fresh-flowing
@νεόρρυτος2|newly drawn
@νεόρρυτος|fresh-flowing
@νυμφίος1|a bridegroom, one lately married
@νυμφίος2|bridal
@νυμφίος|a bridegroom, one lately married
@νῦν1|now at this very time
@νῦν2|now, even now
@νῦν|now at this very time
@ξένος1|a guest-friend
@ξένος2|foreign
@ξένος|a guest-friend
@ξυστός1|scraped, polished
@ξυστός2|a covered colonnade
@ξυστός|scraped, polished
@οὐ10|no truly
@οὐ11|for not
@οὐ12|no truly, nay verily
@οὐ16|not however
@οὐ17|nevertheless, notwithstanding, yet, still
@οὐ18|never yet at any time
@οὐ1|not
@οὐ2|nowhere
@οὐ3|an ellipt. phrase, used in attic to express a negation and give a reason for it, Lat. enimvero, μὴ σκῶπτέ μ᾽, οὐ γὰρ ἀλλ᾽ ἔχω κακῶς (i. e. μὴ σκῶπτέ με: οὐ γὰρ σκωπτικῶς, ἀλλὰ κακῶς ἔχὠ Ar.
@οὐ4|not surely, not verily
@οὐ5|why no, —certainly not
@οὐ6|I suppose not
@οὐ7|for in no manner
@οὐ8|not
