Αἰάντειος,of Ajax
Αἰαντίδης,son of Ajax
Αἰγίπλαγκτος,wandered over by goats
Αἰγίπᾱν,goat-Pan, goat-footed Pan
Αἰγαίων,the Aegaean sea
Αἰγαῖος,mount Ida
Αἰγεῖον,temple of Aegeus
Αἰγιπόδης,goat-footed
Αἰγυπτιάζω,to be like an Egyptian
Αἰγυπτιακός,of or for the Egyptians
Αἰγυπτιασμός,imitation of the Egyptians
Αἰγυπτιστί,in the Egyptian tongue
Αἰγυπτιόω,to make like an Egyptian
Αἰγυπτιώδης,Egyptian-like
Αἰγυπτογενής,of Egyptian race
Αἰγύπτιος,in Egyptian style
Αἰγᾶθεν,from
Αἰγῑναῖος,of the Aeginetan School
Αἰθίοψ,Burnt-face
Αἰθιοπίζω,to speak or be like an Ethiopian
Αἰολεύς,of or like the Aeolians
Αἰσχύλειος,of or like Aeschylus
Αἰσωποποίητος,made by Aesop
Αἰσώπειος,of Aesop
Αἰτναῖος,of or belonging to Etna
Αἰτωλάρχης,president of Aetolian League
Αἴγυπτος,the river Nile
Αἴγῑνα,an Aeginetan
Αἶσα,who dispenses to every one his lot or destiny
Αὐγώ,Daybeam
Αὐξώ,goddess of growth
Αὐσονία,Italy
Αὑαίνου,the Withering
Αὔγουστος,Augustus
Βάκτρα,Balkh
Βάκχειος,of or belonging to Bacchus
Βάκχευμα,Bacchic revelries
Βάκχευσις,Bacchic revelry
Βάκχη,Bacchante
Βάκχος,Bacchus
Βακχάω,to be in Bacchic frenzy, to rave
Βακχέβακχον,the song
Βακχέχορος,leading the Bacchic dance
Βακχεία,Bacchic frenzy, revelry
Βακχευτής,a Bacchanal, any one full of Bacchic frenzy or of wine
Βακχευτικός,disposed to Bacchic revels
Βακχεύσιμος,Bacchanalian, frenzied
Βακχεύω,celebrate the mysteries of Bacchus
Βακχεῖον,Bacchic revelry
Βακχικός,Bis Acc.
Βακχισταί,worshippers of Bacchus
Βακχιόω,fill with the divine presence
Βακχώδης,filled with the spirit of Bacchus
Βοιωτάρχης,to be a Boeotarch
Βοιωταρχία,office of Boeotarch
Βοιωτιουργής,of Boeotian work
Βοιωτός,a Boeotian
Βορέας,north wind
Βορέας1,north wind
Βορέηθεν,from the north
Βορέηνδε,northwards
Βορεάδης,son of Boreas
Βορεάς2,Boread, daughter of Boreas
Βορεασμός,festival of Boreas
Βορραπηλιώτης,north-cast wind
Βορυσθένης,Borysthenes, Dniepr
Βουτράγιος,b
Βρέττιος,barbarous
Βρετᾰνικός,scurvy-grass, Cochlearia anglica
Βρῐτόμαρτις,virgo dulcis
Βρῡσωνοθρᾰσῠμᾰχειοληψῐκέρμᾰτος,taking coin like Bryso and Thrasymachus
Βύνη,the sea-goddess Ino
Βᾰβῠλών,Babylon
Βᾰκίζω,prophesy like Bacis
Γάδειρα,a man of Cadiz
Γάλλος,priest of Cybele
Γίγας,mighty
Γαγγητικός,from the Ganges
Γαζίτιον,Gaza measure
Γελλώ,vampire or goblin
Γενετυλλίς,goddess of one's birth-hour
Γεράστιος,a month
Γερήνιος,from Gerena
Γηρῠόνης,a poem on Geryon
Γλαυκώ,moon
Γνίφων,niggard
Γοργάς,sea-nymphs
Γοργί̆ειος,of Gorgias, Gorgias-like
Γοργολόφας,he of the Gorgon-crest
Γοργονεία,coral
Γοργονώδης,Gorgon-like
Γοργοτομία,cutting off the Gorgon's head
Γοργοφόνος,Gorgon-killing
Γοργόνειος,the Gorgon's head
Γοργόνωτος,with the Gorgon on it
Γοργώ,the Gorgon
Γοργῐάζω,speak like Gorgias
Γόργειος,of or belonging to the Gorgon
Γόριλλαι,gorilla
Γᾰγάτης,lignite
Γᾰδειτάνα,woman of Cadiz, courtesan
Γᾰλᾰτάρχης,president of the provincial council of Galatia
Γῐγάντειος,gigantic
Γῐγαντολέτης,giantkiller
Γῐγαντομᾰχία,battle of the gods and giants
Γῐγαντοφόνος,giant-killing
Γῐγαντόραιστος,giant-quelling
Γῐγαντώδης,gigantic
Δάειρα,Knowing one
Δάρδᾰνος,Dardanus
Δήλιος,Delian
Δίαρχοι,the Hellenodicae
Δίκτυννα,goddess of the chase
Δίϊος,of Zeus
Δαλμᾰτεῖς,Dalmatians
Δαμασκηνόν,Damascus-plum, damson
Δαυλίς,Daulis
Δαυλιάς,woman of Daulis
Δεκέλεια,a Decelean
Δελφίνιος,festival of Apollo D.
Δελφοί,Delphi
Δεξώ,Receiver
Δεσποσιοναῦται,who were freed on condition of serving at sea
Δεῖα,games in honour of Zeus
Δηλογενής,Delos-born
Δημήτηρ,Aus Lydien
Δημήτρειοι,dead
Δημήτριος,of or belonging to Demeter
Δημητριάς,named in honour of Demetrius Poliorcetes
Δημητριακός,of or belonging to Demeter
Δημητριασταί,worshippers of Demeter
Δημητριών,Demetrius
Δημοκρίτειοι,followers of Democritus
Δημοσθένειος,Demosthenic
Δημοσθενίζω,imitate Demosthenes
Δηώ,Demeter
Δηῐάνειρα,destroying her spouse
Διάκριοι,the Mountaineers
Διάλιος,flamen Dialis
Διακρεῖς,inhabitants of
Διαστί,in the language of Zeus
Δικταῖος,Dicté
Διοβλής,hurled by Zeus
Διογένειον,the school of Diogenes
Διογενέτωρ,giving birth to Zeus
Διογενής,sprung from Zeus
Διογενισμός,life after the manner of Diogenes
Διομήδεια,absolute, dire
Διομήδης,Jove-counselled;
Διομηνία,wrath of Zeus
Διομᾰνής,driven mad by Zeus or raging against Zeus
Διοπετής,that fell from Zeus
Διοτρεφής,fostered, cherished by Zeus
Διοτρόφος,nurse of Zeus
Διόβλητος,smitten by Zeus
Δορπία,the first day of the feast Apaturia
Δρυΐδης,Druid
Δρόμιος,god of the race-course
Δρῠάς,a Dryad
Δωδώνη,chatterbox
Δωρίεια,festival at Cnidus
Δωρίζω,imitate the Dorians in life, dialect
Δωρίς,Dorian knife
Δωριάζω,dress like a Dorian girl
Δωριαρχέω,to be archon of the Dorians
Δωριεύς,Dorian, descendant of Dorus
Δωρισμός,speaking in the Doric dialect
Δωριστί,in Dorian fashion
Δύσπᾰρις,unhappy Paris, Paris of ill omen
Δᾰμαῖος,Horse-Tamer
Δᾰναοί,the Danaäns
Δᾱρεικός,dariku
Δᾱρειογενής,born from Darius
Δᾱρεῖος,Dārayavauš 'upholder of the Good'
Δᾱτισμός,a speaking like Datis
Δῆλος,Delos
Δῐδῠμαῖος,their temple
Δῐο,sprung from Zeus or the gods
Δῐομειᾰλαζών,a braggart of the deme Diomea
Δῐονύ̄σια,festival of Dionysus
Δῐονύ̄σιον,the temple of Dionysus
Δῐονύ̄σιος,of Dionysus
Δῐονῡσίσκος,person who has bony excrescences on the temples
Δῐονῡσιάζω,keep the Dionysia:
Δῐονῡσιάς,Bacchante
Δῐονῡσιακός,belonging to the Dionysia or to Dionysus
Δῐονῡσιασταί,worshippers of D.
Δῐονῡσοδότης,bestower of Dionysus
Δῐονῡσοκόλᾰκες,flatterers of Dionysius
Δῐονῡσομᾰνέω,to be full of Bacchic frenzy
Δῐονῡσονυμφάς,burnet, Poterium Sanguisorba
Δῐονῡσοπλάτων,double herm of Dionysus and Plato
Δῐονῡσᾰλέξανδρος,Dionysus masquerading as Paris
Δῐοσημία,a sign from Zeus, an omen from the sky
Δῐοσημειακός,portent-bearing
Δῐοσκουριασταί,guild of worshippers of Dioscuri
Δῐοσκόρειον,temple of the Dioscuri
Δῐοσᾰτᾱβῠρῐασταί,worshippers of Zeus Atabyrios
Δῐόθεν,sent from Zeus, according to his will
Δῐόνῡσος,a
Δῐόπαις,son of Zeus
Δῐόπεμπτος,sent from Zeus
Δῐόπᾱν,Zeus-Pan
Δῐόσδοτος,given by Zeus, heaven-sent
Δῐόσκοροι,the sons of Zeus
Δῐώνη,Dione
Δῐῐσωτήρια,festival of Zeus Soter
Δῐῑπετής,fallen from Zeus
Δῑάσια,the festival of Zeus
Δῑπολίεια,festival of Zeus Polieus
Δῑπολιώδης,like the feast of Dipolia, old-world
Δῑσωτήριον,the temple of
Δῠσελένα,ill-starred Helen
Ερεβόσδε,to or into Erebos
Εἰλήθυια,comet
Εἰλείθυια,she that comes
Εἰλειθυιαῖον,temple of Ilithyia
Εἰρᾰφῐώτης,Fr.anon.
Εἰσῐτύχη,Isis-Fortuna
Εἱλωτίζομαι,to be Helotized
Εἱλωτεία,the system of serfdom
Εἱλωτεύω,to be a Helot or serf
Εἱλωτικός,of Helots
Εἵλως,serfs
Εὐαγγέλιος,giver of glad tidings
Εὐδαλαγῖνες,easily subdued
Εὐμενέτης,well-wisher
Εὐμενέω,to be gracious
Εὐμενής,well-disposed, kindly
Εὐμενίδες,the gracious goddesses
Εὐμενίζομαι,propitiate
Εὐμενικός,like the
Εὐμενισταί,guild of worshippers of Eumenes
Εὐπολίδειος,in the style of Eupolis
Εὐρυκλῆς,ventriloquist
Εὐρωπία,broad surface
Εὐρώπη,Europa, Europe
Εὐρώτας,pudenda muliebria
Εὐρῠφάεσσα,Far-shining
Εὐσέβεια,patrons of
Εὐτέρπη,the Well-pleasing
Εὐᾰλωσία,filling the threshing-floor
Εὑδάνεμος,Storm-stiller
Εὔβοια,as
Εὖρος,the East wind
Ζέφῠρος,westerly wind
Ζήν,rain
Ζεύς,dyaús
Ζζ,zd
Ζηνοδοτήρ,giver of Zeus
Ζηνοδότειος,of the School of Zenodotus
Ζηνοποσειδῶν,Zeus-Poseidon
Ζηνόφρων,knowing the mind of Zeus
Ζηνώνειος,of Zeno
Ζωστήριος,of
Ηη,h
Θάσιος,of or from Thasos
Θήρα,from Thera
Θείβᾱθεν,from Thebes
Θελγῖνες,wizards
Θεσσαλίζω,imitate the Thessalians
Θεσσαλικός,chair or couch
Θεσσαλός,shoe
Θεσσαλῐκέτης,serf in Thessaly
Θετίδειον,temple of Thetis
Θεττᾰλότμητον,such as you would cut for a hungry Thessalian
Θηβάνας,the north-east wind
Θηβάρχης,governor of the Thebaid
Θηβᾱΐς,dweller in the Egyptian Thebais
Θηβᾱγενής,sprung from Thebes, Theban
Θηρίκλειος,made by Thericles
Θηραϊκόν,invented in the island Thera
Θησειότριψ,one who is always in the Theseum
Θησεῖδαι,sons of Theseus
Θησεῖον,temple of Theseus
Θησηΐς,of Theseus
Θθ,Schrifttaf. zur ält.lat.Paläogr.
Θορῐκόνδε,to Thoricus
Θουριόμαντις,a Thurian prophet
Θράσων,braggart
Θρασκίας,the wind from NNW.
Θρᾳκίζω,speak Thracian dialect
Θρᾳκιστί,in Thracian fashion
Θρᾳκοφοίτης,one who keeps going to Thrace
Θρᾴκη,from Thrace
Θρᾷσσα,Thracian slave-girl
Θρῖα,at Thria
Θύμβρις,the Tiber
Θῆβαι,to Thebes
Θῠέστειος,of Thyestes
Θῠώνη,portion of sacrifice
Κάβαρνος,priest of Demeter
Κάβειροι,the Cabeiri
Κάδμος,the Cadmeans or ancient inhabitants of Thebes
Κάειρα,Carian woman
Κάνωβος,of Canopus
Κάρ,experimentum facere in corpore vili
Κάρνειος,festival held in his honour
Κέκροψ,Cecropian, Athenian
Κένταυρος,brigands
Κέρκωψ,man-monkey
Κέρκῡρα,BMus.Cat.Coins Thessaly
Κέως,Wiener Sitzb.
Κήλημα,charm, spell
Κήρ,the goddess of death or doom
Κίκυννα,an inhabitant thereof
Κίλιξ,a Cilician
Κίλισσα,Cilician woman
Κίμωλος,Cimolian earth
Κίσσιος,of or from Cissia
Κίστῐβερ,quinquevir cis Tiberim
Καΰστριος,of or from the river Cayster
Καδμειώνη,daughter of Cadmus
Καδμογενής,Cadmus-born
Καδμῖλος,camillus
Καλλᾰβίς,a wanton dance
Καλλῐόπη,Calliope, the beautiful-voiced
Κανδαύλης,dog-throttler
Κανωπικόν,cake
Καππαδόκαι,favour the Cappadocians
Καρνειάσιον,grove sacred to Apollo Carneus
Καρνεονίκης,victor in the Carnean games
Καρπάσιον,asbestos (from Carpasia
Καρχηδονίζω,side with the Carthaginians
Καρύϊνος,nut-brown
Κασιωτικόν,boat used by the inhabitants of Kasion
Κασσῐτερίδες,the Cassiterides or tin-islands
Καστόρειος,of or belonging to Castor
Κατάδουποι,the first Cataract
Καυνίας,a wind blowing from Caunus
Καυνιακή,plaster
